event_id,user_id,placing,army_id,army_name
lgsUx8LcDT,bVM0GNee98,1,7MZmTkjtvN,Veteran Guardsmen
lgsUx8LcDT,xd6i3me0n1,2,3F19iI0Bt3,Death Guard
lgsUx8LcDT,kY6scOpXMZ,3,EWadqM6wl8,Heretic Astartes
lgsUx8LcDT,guS5zYyVkF,4,3F19iI0Bt3,Death Guard
lgsUx8LcDT,FcO58qVVJv,5,N2uSbuLvN0,Space Marine
lgsUx8LcDT,2Pw6vu6vTN,6,7MZmTkjtvN,Veteran Guardsmen
lgsUx8LcDT,cPC7gy3UOA,7,7MZmTkjtvN,Veteran Guardsmen
lgsUx8LcDT,gm1Op50Ewa,8,TQG24C1NEf,Talons of the Emperor
lgsUx8LcDT,vS2D35e1Fp,9,oEohwy67E8,T'au Empire
lgsUx8LcDT,Dtm70IU3Eq,10,VDpRBmwJeg,Craftworld
UmEUkuG9Ng,QkBrNo68uZ,1,nEQNnAfnWE,Adepta Sororitas
UmEUkuG9Ng,v95A3i35o7,2,CRhCbDdZmd,Commorite
UmEUkuG9Ng,9IGmBj1InD,3,GEoM3iLOFN,Harlequins
UmEUkuG9Ng,4mgnws1BG8,4,oIGBgz0rWT,Ork Kommandos
UmEUkuG9Ng,kAYptm2GZC,5,3F19iI0Bt3,Death Guard
UmEUkuG9Ng,p4abT3oEPh,6,7MZmTkjtvN,Veteran Guardsmen
UmEUkuG9Ng,gSIj6jCXzF,7,7MZmTkjtvN,Veteran Guardsmen
UmEUkuG9Ng,dAfGssdKYz,8,7MZmTkjtvN,Veteran Guardsmen
UmEUkuG9Ng,a1Hwnspxwb,9,g33HjqCsH4,Warp Coven
UmEUkuG9Ng,iTH61hr9wg,10,oEohwy67E8,T'au Empire
u0GkR3PqDO,rbymi0zYKA,1,g33HjqCsH4,Warp Coven
u0GkR3PqDO,4vhcGcHGDc,2,iZGEmAny5r,Novitiates
u0GkR3PqDO,NEF3L5CRB9,3,YHDcQGGxCo,Imperial Guard
u0GkR3PqDO,bh2EtNanBv,4,7MZmTkjtvN,Veteran Guardsmen
u0GkR3PqDO,8pqsISZOhf,5,oIGBgz0rWT,Ork Kommandos
u0GkR3PqDO,RjlaQggGr1,6,iZGEmAny5r,Novitiates
u0GkR3PqDO,680LQ5MngK,7,CRhCbDdZmd,Commorite
u0GkR3PqDO,QOin956sj5,8,7MZmTkjtvN,Veteran Guardsmen
u0GkR3PqDO,v98VE01hcS,9,N2uSbuLvN0,Space Marine
u0GkR3PqDO,J93UYJ46T2,10,TQG24C1NEf,Talons of the Emperor
u0GkR3PqDO,CkN4GQfA8H,11,EWadqM6wl8,Heretic Astartes
u0GkR3PqDO,LNzQ2IC5ja,12,VNPKVFKkJx,Traitor Space Marine
u0GkR3PqDO,GcJlQA2ktQ,13,L89u8ltWQG,Drukhari
u0GkR3PqDO,J16XXwSAUN,14,7MZmTkjtvN,Veteran Guardsmen
